file_name ; total_energy;total_F;total_SFM; speech; 
file stem1-220-stem1.wav ; 51.77310233721213;337.374693877551;-4.171905515849867; yes; 
file stem1-221-stem1.wav ; 52.73186361809231;337.08080272108845;-3.619783323489197; yes; 
file stem1-222-stem1.wav ; 51.54315950302418;337.0884081632653;-3.8434075656528757; yes; 
file stem1-223-stem1.wav ; 51.72894797189028;343.3273650793651;-3.3063371078571904; yes; 
file stem1-224-stem1.wav ; 52.77266664768176;348.15949206349205;-3.7429172803377626; yes; 
file stem1-225-stem1.wav ; 50.93947238715689;333.9954081632653;-3.6290149336741897; yes; 
file stem1-226-stem1.wav ; 52.61382839372187;339.02856689342406;-3.0909889577423684; yes; 
file stem1-227-stem1.wav ; 52.722995142169005;338.0310680272109;-3.7830400946475558; yes; 
file stem1-228-stem1.wav ; 51.9771107830496;334.2190476190476;-3.9500162443203735; yes; 
file stem1-229-stem1.wav ; 52.29772359935529;333.7239909297052;-3.75339730936105; yes; 
file stem1-23-stem1.wav ; 53.3004731362869;351.68332199546484;-3.6660184491756267; yes; 
file stem1-230-stem1.wav ; 50.810270152556065;331.4195238095238;-3.641808293423854; yes; 
file stem1-231-stem1.wav ; 52.3045503504932;336.151619047619;-3.646514501257994; yes; 
file stem1-232-stem1.wav ; 51.575486821122766;336.6618321995465;-3.8471159291641306; yes; 
file stem1-233-stem1.wav ; 51.942575909008944;337.47365306122447;-3.3737355897595442; yes; 
file stem1-234-stem1.wav ; 51.98639253521157;335.7722448979592;-3.7789181104418574; yes; 
file stem1-235-stem1.wav ; 52.90409681127964;338.7958049886621;-3.801648994986871; yes; 
file stem1-236-stem1.wav ; 53.42848047708478;332.87187301587306;-3.4279634559425984; yes; 
file stem1-237-stem1.wav ; 51.88349550347062;303.52245578231293;-3.2123288756525548; yes; 
file stem1-238-stem1.wav ; 53.19286253641762;339.824126984127;-3.8318905672295713; yes; 
file stem1-239-stem1.wav ; 53.0121551536311;345.16051473922903;-3.926417329327885; yes; 
file stem1-24-stem1.wav ; 52.6969693914715;379.50642176870747;-3.407911493258302; yes; 
file stem1-240-stem1.wav ; 52.0565236469504;337.32585034013607;-3.920330312695532; yes; 
file stem1-241-stem1.wav ; 51.84871641050573;348.6952108843537;-3.3977278071642725; yes; 
file stem1-242-stem1.wav ; 52.82559023755489;348.0997823129252;-3.5480430864701558; yes; 
file stem1-243-stem1.wav ; 53.11618770348993;369.1227959183674;-3.241371992230487; yes; 
file stem1-244-stem1.wav ; 52.448964701648855;346.4060770975057;-3.7392568610734007; yes; 
file stem1-245-stem1.wav ; 52.616192425985396;335.65444444444444;-3.8250946813978977; yes; 
file stem1-246-stem1.wav ; 51.88153314833123;366.4327074829932;-3.54370561373312; yes; 
file stem1-247-stem1.wav ; 51.244203882079965;336.47406349206346;-3.3044500006413493; yes; 
file stem1-248-stem1.wav ; 51.86613551729593;365.0413605442177;-3.7215155597420306; yes; 
file stem1-249-stem1.wav ; 52.481392818342016;340.009;-3.153086026823202; yes; 
file stem1-25-stem1.wav ; 52.95423826349583;338.4917800453514;-3.8312781590001617; yes; 
