@relation no2-weka.filters.unsupervised.attribute.Remove-R15

@attribute speech {no,yes}
@attribute ' Avgf0' numeric
@attribute ' Avgf1' numeric
@attribute ' Avgf2' numeric
@attribute ' Avgf3' numeric
@attribute ' Avgf4' numeric
@attribute ' Avgf5' numeric
@attribute ' Avgf6' numeric
@attribute ' Avgf7' numeric
@attribute ' Avgf8' numeric
@attribute ' Avgf9' numeric
@attribute ' Avgf10' numeric
@attribute ' Avgf11' numeric
@attribute ' Avgf12' numeric

@data
no,6.113402,5.554457,5.947816,5.512059,5.586605,5.946771,5.949054,6.40408,6.591924,6.882974,7.042405,7.219433,7.110722
no,5.363592,4.188502,4.433687,4.448076,4.806502,5.226165,5.324441,5.626114,5.680953,5.832325,6.025201,6.257776,6.259031
no,5.764038,4.477128,4.673768,4.713542,5.099913,5.542774,5.553178,5.780959,5.771483,5.990441,6.199587,6.426951,6.392876
no,6.090039,6.439985,6.93942,6.175106,6.156924,6.444098,6.144381,6.203065,6.560761,6.763875,6.896969,7.167373,6.736038
no,5.115753,3.511459,3.837358,3.815667,3.997495,4.317416,4.201663,4.527647,4.675882,4.860771,5.029684,5.235074,5.384398
no,5.728024,4.60873,4.889077,4.775868,5.091362,5.154217,4.692644,4.739267,4.694804,4.544088,4.371137,4.618213,4.751685
no,5.011406,3.268513,3.483584,3.335398,3.540177,3.948237,4.045167,4.09392,4.157515,4.435035,4.494588,4.622613,4.614249
no,5.353379,3.97314,4.115784,3.887902,4.176006,4.556505,4.418109,4.494488,4.493294,4.550136,4.622481,4.712849,4.788025
no,6.017664,4.624154,4.636626,4.483984,4.733682,5.036892,4.875754,5.140319,5.193459,5.285854,5.341705,5.409393,5.485581
yes,3.071135,3.66082,3.896209,3.967172,4.411109,4.402812,4.242876,4.587951,5.018669,5.243415,5.324524,5.93644,6.514589
yes,8.216167,7.657601,7.450754,7.269232,7.501868,7.192343,7.023315,7.457771,7.103617,7.015096,7.19725,7.756696,8.276188
yes,11.383095,10.744564,11.08245,11.051064,11.253245,10.853028,10.663714,11.238622,11.026831,10.83202,10.849442,11.330598,11.386441
yes,1.804911,2.979287,4.147757,4.247574,4.468953,4.546001,4.969529,5.445301,5.453064,5.65267,5.636917,6.213298,6.185316
yes,3.683646,3.327646,3.801303,3.755533,4.104537,4.108965,4.072282,4.293983,4.327144,4.676613,5.336486,6.283734,6.086093
yes,6.640324,5.764212,5.435245,5.352739,5.320147,5.658675,5.51774,5.348024,5.91645,6.054687,6.30342,6.342449,7.009607
yes,7.747006,7.593142,8.496024,8.415174,8.669743,8.493312,8.50062,8.81474,8.837707,8.684991,8.790389,9.302696,9.438393
yes,7.261281,6.689563,7.574063,7.695342,7.611971,7.605948,7.959343,8.893027,9.341981,9.710618,10.448593,11.050637,10.911468
yes,9.309073,8.192865,8.375887,8.239375,8.21625,8.068665,7.991631,8.499151,8.746792,9.104163,9.864167,10.522716,10.693096
yes,10.138747,8.938673,9.11958,9.061698,9.235472,9.350643,9.380033,9.984463,10.299919,10.69767,11.281619,11.783944,12.000351
yes,9.879305,8.895106,8.73368,8.492394,8.438582,8.395923,8.313738,8.701405,8.855635,9.035046,9.868386,10.651091,10.855257
yes,11.377494,10.30207,10.675121,10.528871,10.832476,10.96812,10.719068,11.491227,11.910919,12.149182,12.430758,12.643942,13.018644
yes,7.705665,7.713819,8.377984,8.788453,9.088912,9.255377,9.585139,9.871322,10.106803,10.31845,10.495592,10.913023,11.00347
yes,4.526649,4.686821,5.647606,6.056552,5.708672,5.355219,4.435847,4.766295,4.855773,4.90471,5.285257,5.606633,5.275
yes,3.882077,4.226518,4.052402,4.064246,4.510362,4.618722,4.444556,4.676274,5.004349,5.336947,5.303297,6.035828,6.651888
yes,7.042158,7.026321,7.092299,6.77756,7.066381,6.738454,6.672203,7.110287,6.657111,6.569705,6.564606,7.20359,7.792421
yes,9.555962,8.681131,8.891745,8.712653,8.950943,8.730915,8.432956,9.020146,9.209602,9.100359,9.079651,9.397805,9.460406
yes,6.923422,6.069761,5.656251,5.608638,5.613052,6.083603,5.897146,5.594854,5.967732,6.050562,6.309664,6.287548,6.827974
yes,4.607923,4.215405,4.802845,4.794331,4.885202,4.946274,4.922888,5.267862,5.255058,5.426988,6.079746,6.591422,6.69892
