speechJ,pitch1,pitch2,jitt1,jitt2,jitt3,jitt4,jitt5,shim1,shim2,shim3,shim4,shim5,shim6,filename
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_pch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_pch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_pch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_pch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_pch05.wav
0,279.853,2.187,0,0,0,0,0,0,0,0,0,0,0,14_pch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_pch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_pch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_pch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_pch10.wav
